ID,Feature,Category,swap_proportion,Acc,Acc_after,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,age,>=38,0.1,74.979,75.029,1.2413380310629348e-31,1.0324729988544142e-66,0.9900051448674997,0.04615123662588178,inf,0.38234160497776193,0.7545441298868047,0.002302421488375406,0.6935411785679235,0.036582515821646976,0.0017777778967367143,0.020107072804171424,1.277,24.971,0.221,0.212,0.458,0.446,0.092,0.084
F_0,age,<=37,0.1,89.061,87.961,1.2413380310629348e-31,1.0324729988544142e-66,0.9900051448674997,0.04615123662588178,inf,0.38234160497776193,0.8856536849447867,0.0017945115179370645,0.6621112117270791,0.06230303158297483,0.002398952341168769,0.023956801771232675,1.424,12.039,0.058,0.069,0.311,0.31,0.018,0.031
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,77.899,15.079691635733681,0.0371792904018369,0.9894172312597053,0.5125973622873359,inf,0.2296546785814138,2.20471150806748,0.0057914713788246724,0.6085920310177058,0.11458585769124714,0.007275486675847421,0.042260386309880174,5.277,22.101,0.095,0.141,0.274,0.306,0.049,0.099
F_3,capital-gain,>=3674,0.1,96.333,89.986,15.079691635733681,0.0371792904018369,0.9894172312597053,0.5125973622873359,inf,0.2296546785814138,0.658896762046759,0.009956599357465061,0.6299696229635351,0.18159680258496982,0.010506272895640805,0.051132114698296746,6.347,10.014,0.843,0.78,0.977,0.902,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.34,15.237598471991362,0.03802872937411086,0.9863232749030286,0.7253621879151005,inf,0.22808828429813066,1.9593583733186537,0.004039254709746094,0.6441524964233789,0.08172597072307744,0.005681522397384505,0.03728995065053728,3.95,20.66,0.122,0.154,0.369,0.386,0.049,0.085
F_4,capital-loss,>=1887,0.1,93.787,87.87,15.237598471991362,0.03802872937411086,0.9863232749030286,0.7253621879151005,inf,0.22808828429813066,0.45167751459039895,0.00550499882537467,0.6486687816613314,0.1136863513150008,0.010657118751421725,0.051563868924755306,6.509,12.13,0.71,0.669,0.958,0.887,0.111,0.141
F_5,hours-per-week,<=40,0.1,86.801,86.099,1.036779627642201,0.00015764420467966522,0.9879725035085556,0.05470906339349546,inf,0.5685261423928712,0.9562283256066595,0.0017481397239331132,0.665682004394805,0.03914843111753704,0.001955167250121871,0.021783155236136255,1.404,13.901,0.061,0.073,0.294,0.309,0.012,0.024
F_5,hours-per-week,>=41,0.1,71.16,70.723,1.036779627642201,0.00015764420467966522,0.9879725035085556,0.05470906339349546,inf,0.5685261423928712,0.7499168990673617,0.00289916862736385,0.6895923643544148,0.04415468507665486,0.0028562702928760938,0.025566377285516084,2.074,29.277,0.32,0.307,0.538,0.517,0.17,0.163
F_0,age,>=38,0.1,74.979,74.963,1.2127977160639832e-31,9.177537993241348e-67,0.9900237384525215,0.04592121419638243,inf,0.3748845803045175,0.8156015342215321,0.0025497481144075,0.692078519533556,0.03981338154196966,0.002064166448874475,0.02171122649632311,1.409,25.037,0.221,0.211,0.458,0.444,0.092,0.084
F_0,age,<=37,0.1,89.061,88.333,1.2127977160639832e-31,9.177537993241348e-67,0.9900237384525215,0.04592121419638243,inf,0.3748845803045175,0.8157208447914128,0.001649950294989212,0.668508847374807,0.05708977975729099,0.002059244424357368,0.022113038101194978,1.214,11.667,0.058,0.067,0.311,0.317,0.018,0.028
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,78.065,15.079691635733681,0.0371792904018369,0.9897718240471345,0.5186211746137069,inf,0.2296546785814138,2.1830331838426043,0.0057859720109475704,0.6070253470135408,0.11335933334284348,0.007126975139428719,0.041825702539657006,5.338,21.935,0.095,0.141,0.274,0.31,0.049,0.098
F_3,capital-gain,>=3674,0.1,96.333,89.986,15.079691635733681,0.0371792904018369,0.9897718240471345,0.5186211746137069,inf,0.2296546785814138,0.6589443941072521,0.009934459970917646,0.6299696229635351,0.18142069518669945,0.010508956022282225,0.05113256868126332,6.347,10.014,0.843,0.78,0.977,0.902,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.298,15.237598471991362,0.03802872937411086,0.9863312663363194,0.7259088592025712,inf,0.22808828429813066,1.98793568318623,0.004247406553863228,0.640050424093867,0.08478106425142838,0.005830835922326873,0.0377713938834075,4.211,20.702,0.122,0.156,0.369,0.389,0.049,0.087
F_4,capital-loss,>=1887,0.1,93.787,89.349,15.237598471991362,0.03802872937411086,0.9863312663363194,0.7259088592025712,inf,0.22808828429813066,0.39846491739005685,0.005026966943556761,0.6624690336914418,0.09291986077567298,0.008304158326821524,0.045503656796066064,5.03,10.651,0.71,0.678,0.958,0.904,0.111,0.131
F_5,hours-per-week,<=40,0.1,86.801,86.192,1.3668023584471287,0.0002875658639643591,0.9879356851734709,0.05462931199461016,inf,0.6893693341119105,0.9759468766673004,0.0018166981616338494,0.6640603673656567,0.04150174265505956,0.002036501634953374,0.02222419005280963,1.474,13.808,0.061,0.074,0.294,0.315,0.012,0.024
F_5,hours-per-week,>=41,0.1,71.16,70.887,1.3668023584471287,0.0002875658639643591,0.9879356851734709,0.05462931199461016,inf,0.6893693341119105,0.7619494163039442,0.0030998412033052774,0.6886317880529804,0.046854596856881855,0.002972289691016613,0.025952226940231644,2.183,29.113,0.32,0.306,0.538,0.519,0.17,0.161
F_0,age,>=38,0.1,74.979,74.963,1.3232707870234402e-31,1.376630673781041e-66,0.9899954238325476,0.04703545984904462,inf,0.4033256263005432,0.7545201128037247,0.002459522583339586,0.6928122170019845,0.03732520156564756,0.0017714542953900791,0.020074236619212767,1.343,25.037,0.221,0.211,0.458,0.444,0.092,0.084
F_0,age,<=37,0.1,89.061,88.01,1.3232707870234402e-31,1.376630673781041e-66,0.9899954238325476,0.04703545984904462,inf,0.4033256263005432,0.8510518639196283,0.0018790328318663424,0.6644867635989891,0.061452987405775525,0.002213021939946125,0.0230079862765821,1.343,11.99,0.058,0.068,0.311,0.308,0.018,0.03
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,77.891,15.079691635733681,0.0371792904018369,0.9897126793995771,0.5059111244876778,inf,0.2296546785814138,2.1950141702279593,0.005626720118611121,0.6081263800888284,0.11310944692135871,0.0072264720386644105,0.04212197498862866,5.251,22.109,0.095,0.14,0.274,0.303,0.049,0.098
F_3,capital-gain,>=3674,0.1,96.333,90.127,15.079691635733681,0.0371792904018369,0.9897126793995771,0.5059111244876778,inf,0.2296546785814138,0.6553147729662834,0.009741535202850114,0.6315339721606805,0.17872478152983062,0.010407039693471683,0.05089116976099031,6.206,9.873,0.843,0.781,0.977,0.903,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.373,15.237598471991362,0.03802872937411086,0.9863191240210972,0.7243322390482665,inf,0.22808828429813066,1.9653878227828858,0.004144015959309987,0.6449066199272886,0.08299256128374867,0.005709877673694085,0.03738540163882047,3.933,20.627,0.122,0.155,0.369,0.389,0.049,0.086
F_4,capital-loss,>=1887,0.1,93.787,88.166,15.237598471991362,0.03802872937411086,0.9863191240210972,0.7243322390482665,inf,0.22808828429813066,0.4498457864262812,0.005371599988987164,0.6512882557062466,0.10898441707448002,0.010644474507524013,0.05140836825675217,6.213,11.834,0.71,0.672,0.958,0.891,0.111,0.141
F_5,hours-per-week,<=40,0.1,86.801,86.029,1.1334714028079649,0.0001920141047188969,0.9879096086000049,0.053913254433533196,inf,0.6061454748415215,1.0348885458323114,0.001748113545773258,0.6633261452897317,0.04189003557992845,0.0023065685421561313,0.023620521756957537,1.474,13.971,0.061,0.073,0.294,0.307,0.012,0.024
F_5,hours-per-week,>=41,0.1,71.16,71.078,1.1334714028079649,0.0001920141047188969,0.9879096086000049,0.053913254433533196,inf,0.6061454748415215,0.7431261456978071,0.002989469828214824,0.6898306266250939,0.044587416630548944,0.0028248926669256196,0.025328606350549142,2.046,28.922,0.32,0.307,0.538,0.522,0.17,0.16
F_0,age,>=38,0.1,74.979,75.029,1.212797714976364e-31,9.177537950032365e-67,0.9900310012022835,0.04617324208866743,inf,0.3748845800188641,0.7489994552062043,0.0024223683678777945,0.6939117097138114,0.03746762299969025,0.0017839410897270724,0.019960761368801247,1.244,24.971,0.221,0.211,0.458,0.445,0.092,0.084
F_0,age,<=37,0.1,89.061,88.269,1.212797714976364e-31,9.177537950032365e-67,0.9900310012022835,0.04617324208866743,inf,0.3748845800188641,0.824963317259994,0.0016602598412356682,0.6706110762640105,0.058731934714077165,0.0021200961978140487,0.022387570605976626,1.149,11.731,0.058,0.067,0.311,0.313,0.018,0.028
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,78.013,15.086304085793081,0.037146619672134056,0.9898574974828755,0.5231438694670139,inf,0.22975405586261755,2.159279875945796,0.005640207778204474,0.6116745553143579,0.11117405831287923,0.006979682260258973,0.0413951507875545,5.112,21.987,0.095,0.14,0.274,0.306,0.049,0.097
F_3,capital-gain,>=3674,0.1,96.333,89.704,15.086304085793081,0.037146619672134056,0.9898574974828755,0.5231438694670139,inf,0.22975405586261755,0.6724192934562616,0.010310792470042483,0.6268587638333895,0.1866192025963888,0.0109141648724798,0.05211542003389086,6.629,10.296,0.843,0.777,0.977,0.898,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.441,15.244142426972868,0.03799605864440801,0.9860995527011429,0.7252241082761991,inf,0.22818498238773555,1.9443388060958071,0.0039810520516790895,0.646162615726838,0.08055986147473973,0.005602675589739026,0.03702037686424836,3.832,20.559,0.122,0.154,0.369,0.387,0.049,0.084
F_4,capital-loss,>=1887,0.1,93.787,89.349,15.244142426972868,0.03799605864440801,0.9860995527011429,0.7252241082761991,inf,0.22818498238773555,0.4093167838347942,0.006896616957425508,0.6639392299626253,0.10655940028257754,0.008632044593627554,0.04634859226764265,5.03,10.651,0.71,0.666,0.958,0.895,0.111,0.111
F_5,hours-per-week,<=40,0.1,86.801,86.216,1.0029138780994942,0.0001463305122041339,0.9879717389594004,0.05631314974412174,inf,0.5548619670449416,0.9878740725959672,0.0017794947300783892,0.6636180764131433,0.04140994950442112,0.002089531960994149,0.022511833647056206,1.474,13.784,0.061,0.074,0.294,0.314,0.012,0.023
F_5,hours-per-week,>=41,0.1,71.16,70.805,1.0029138780994942,0.0001463305122041339,0.9879717389594004,0.05631314974412174,inf,0.5548619670449416,0.7529578643482302,0.0028472924013868382,0.6893444417390575,0.043109226347867194,0.0028756868437723165,0.02568944747301843,2.101,29.195,0.32,0.308,0.538,0.519,0.17,0.163
F_0,age,>=38,0.1,74.979,74.979,1.2692367542659296e-31,1.1471922372727765e-66,0.990083952691698,0.04709453699673334,inf,0.38955665341520784,0.796131882112812,0.002591495236630249,0.6922695735767835,0.03984629449051903,0.0019813160662447795,0.02118967907867434,1.393,25.021,0.221,0.21,0.458,0.443,0.092,0.083
F_0,age,<=37,0.1,89.061,88.236,1.2692367542659296e-31,1.1471922372727765e-66,0.990083952691698,0.04709453699673334,inf,0.38955665341520784,0.8086219095767712,0.0017029377615714741,0.6644867635989891,0.05753205137519185,0.00201199682575301,0.021887853787235755,1.343,11.764,0.058,0.068,0.311,0.317,0.018,0.029
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,77.969,15.073076284840319,0.03721196113153974,0.9892750978800046,0.5129660924878612,inf,0.22955524544902495,2.1728195636225225,0.005839124440764416,0.6080369779676971,0.11297511087717793,0.007046401907167866,0.04158855821166206,5.312,22.031,0.095,0.142,0.274,0.309,0.049,0.098
F_3,capital-gain,>=3674,0.1,96.333,89.704,15.073076284840319,0.03721196113153974,0.9892750978800046,0.5129660924878612,inf,0.22955524544902495,0.6757209545617686,0.0099926649119676,0.6255506455064705,0.18622564041247072,0.011086948843121641,0.052504244221758256,6.629,10.296,0.843,0.78,0.977,0.9,0.11,0.119
F_4,capital-loss,<=1876,0.1,81.774,79.584,15.237598471991362,0.03802872937411086,0.98623234233161,0.7232030711035539,inf,0.22808828429813066,1.8916734833565352,0.0038883288061300307,0.64720290661476,0.07723829837291998,0.005302471025545206,0.036004694269269805,3.756,20.416,0.122,0.153,0.369,0.388,0.049,0.083
F_4,capital-loss,>=1887,0.1,93.787,89.053,15.237598471991362,0.03802872937411086,0.98623234233161,0.7232030711035539,inf,0.22808828429813066,0.39790452666505394,0.004274588751733022,0.659180665867583,0.09081610816557159,0.008291954102222863,0.04553353674123739,5.325,10.947,0.71,0.68,0.958,0.904,0.111,0.141
F_5,hours-per-week,<=40,0.1,86.801,86.216,1.1436670636908195,0.00019581673048055278,0.9879519688976434,0.05394674384921115,inf,0.6099975630438688,0.9639508390999768,0.0016787453620686168,0.6655416227188391,0.03792404065843313,0.0020029904583378105,0.0219934549154838,1.404,13.784,0.061,0.073,0.294,0.312,0.012,0.023
F_5,hours-per-week,>=41,0.1,71.16,70.996,1.1436670636908195,0.00019581673048055278,0.9879519688976434,0.05394674384921115,inf,0.6099975630438688,0.7788758973050504,0.002985320776213892,0.6876575578063646,0.046590527339563245,0.0030968596868677666,0.026562230418521134,2.292,29.004,0.32,0.307,0.538,0.521,0.17,0.161
F_0,age,>=38,0.1,74.979,75.062,1.1835693776504317e-31,8.030345652267483e-67,0.9899898719248591,0.04683512516207415,inf,0.36716692585622346,0.7393723393129823,0.00238222836722579,0.6942742549362582,0.03710269092746968,0.001752403552221237,0.01971500909750345,1.21,24.938,0.221,0.211,0.458,0.446,0.092,0.084
F_0,age,<=37,0.1,89.061,88.22,1.1835693776504317e-31,8.030345652267483e-67,0.9899898719248591,0.04683512516207415,inf,0.36716692585622346,0.8514359456155587,0.0018530067782410182,0.6659222889297568,0.062035581517235046,0.0022241402665769817,0.023040704529109127,1.294,11.78,0.058,0.067,0.311,0.314,0.018,0.028
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,78.021,15.073076284840319,0.03721196113153974,0.9900311020494591,0.510060820318909,inf,0.22955524544902495,2.1653394632851763,0.005515992430523602,0.6110953393682975,0.11086625465851033,0.007043454000146681,0.04157055057533953,5.103,21.979,0.095,0.139,0.274,0.304,0.049,0.097
F_3,capital-gain,>=3674,0.1,96.333,89.845,15.073076284840319,0.03721196113153974,0.9900311020494591,0.510060820318909,inf,0.22955524544902495,0.669434405412803,0.010234510007910745,0.6284112362820717,0.1855758703506532,0.010822644262582984,0.05189520353828568,6.488,10.155,0.843,0.779,0.977,0.9,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.213,15.270290203353603,0.03786537572559664,0.9869299344632276,0.7307940208638092,inf,0.22857124555657618,1.9678885590868223,0.0041347684263412,0.6443940382245592,0.08306631551234567,0.005725228792187998,0.03743989158179313,3.959,20.787,0.122,0.155,0.369,0.385,0.049,0.087
F_4,capital-loss,>=1887,0.1,93.787,87.574,15.270290203353603,0.03786537572559664,0.9869299344632276,0.7307940208638092,inf,0.22857124555657618,0.44192846250040796,0.0058473059303548545,0.6451586603247007,0.11325775204142335,0.010092405945846851,0.05030235124905263,6.805,12.426,0.71,0.672,0.958,0.887,0.111,0.152
F_5,hours-per-week,<=40,0.1,86.801,86.356,1.431539163487855,0.00031723676553554824,0.9879475947468244,0.055467952527550164,inf,0.7107812263662883,0.9773026887797669,0.0016828442595380193,0.6668316291380157,0.04070328369968493,0.00205051174284659,0.02228252565269059,1.357,13.644,0.061,0.072,0.294,0.315,0.012,0.022
F_5,hours-per-week,>=41,0.1,71.16,70.778,1.431539163487855,0.00031723676553554824,0.9879475947468244,0.055467952527550164,inf,0.7107812263662883,0.7479433883091633,0.003041050473790689,0.6891152593202422,0.045343194281301596,0.00284694209180157,0.025471315082136303,2.128,29.222,0.32,0.306,0.538,0.517,0.17,0.162
F_0,age,>=38,0.1,74.979,74.946,1.2965352892247857e-31,1.2619114540865704e-66,0.9899404457747574,0.048124254028587,inf,0.3965463566418864,0.7543962983439731,0.0025083053503697304,0.6933667862291777,0.03774521537323409,0.0017791565460201957,0.020067085332288622,1.293,25.054,0.221,0.211,0.458,0.443,0.092,0.084
F_0,age,<=37,0.1,89.061,88.22,1.2965352892247857e-31,1.2619114540865704e-66,0.9899404457747574,0.048124254028587,inf,0.3965463566418864,0.8035499037336382,0.0016026622726546542,0.6710941980778767,0.05599070090241891,0.002000917303721161,0.021795668883697085,1.133,11.78,0.058,0.066,0.311,0.311,0.018,0.028
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
