ID,Features,Swap,Swap_ratio,Distance_measure,Value
F_0,age,0.01,swat_0.01,Hellinger,0.0
F_0,age,0.01,swat_0.01,wasserstein,0.0
F_0,age,0.01,swat_0.01,cramers_v,1.0
F_0,age,0.01,swat_0.01,JS_Divergence,0.0
F_0,age,0.05,swat_0.05,Hellinger,0.02709352446078488
F_0,age,0.05,swat_0.05,wasserstein,0.00124018501186256
F_0,age,0.05,swat_0.05,cramers_v,0.9992821272894691
F_0,age,0.05,swat_0.05,JS_Divergence,0.00535620414189762
F_0,age,0.1,swat_0.1,Hellinger,0.06831654713254767
F_0,age,0.1,swat_0.1,wasserstein,0.00246690992531236
F_0,age,0.1,swat_0.1,cramers_v,0.9988647367482064
F_0,age,0.1,swat_0.1,JS_Divergence,0.03111933102617475
F_0,age,0.2,swat_0.2,Hellinger,0.20386662910951275
F_0,age,0.2,swat_0.2,wasserstein,0.0035893572329981846
F_0,age,0.2,swat_0.2,cramers_v,0.9976250828903062
F_0,age,0.2,swat_0.2,JS_Divergence,0.0642583528228591
F_0,age,0.4,swat_0.4,Hellinger,0.5400530159529326
F_0,age,0.4,swat_0.4,wasserstein,0.00468048655001681
F_0,age,0.4,swat_0.4,cramers_v,0.9864576798405095
F_0,age,0.4,swat_0.4,JS_Divergence,0.09780144334984593
F_0,age,0.6,swat_0.6,Hellinger,0.8440092287680153
F_0,age,0.6,swat_0.6,wasserstein,0.00467518874794405
F_0,age,0.6,swat_0.6,cramers_v,0.9772965897872572
F_0,age,0.6,swat_0.6,JS_Divergence,0.10520299615640238
F_0,age,0.8,swat_0.8,Hellinger,1.0489366973825551
F_0,age,0.8,swat_0.8,wasserstein,0.00500266225993791
F_0,age,0.8,swat_0.8,cramers_v,0.9664707405978998
F_0,age,0.8,swat_0.8,JS_Divergence,0.10812569883696173
F_0,age,0.95,swat_0.95,Hellinger,1.2855876853847006
F_0,age,0.95,swat_0.95,wasserstein,0.005661709732056583
F_0,age,0.95,swat_0.95,cramers_v,0.9572412264427181
F_0,age,0.95,swat_0.95,JS_Divergence,0.11714170864793977
F_1,race,0.01,swat_0.01,Hellinger,0.0
F_1,race,0.01,swat_0.01,wasserstein,0.0
F_1,race,0.01,swat_0.01,cramers_v,1.0
F_1,race,0.01,swat_0.01,JS_Divergence,0.0
F_1,race,0.05,swat_0.05,Hellinger,0.0028993853307938697
F_1,race,0.05,swat_0.05,wasserstein,0.000160531234631365
F_1,race,0.05,swat_0.05,cramers_v,1.0
F_1,race,0.05,swat_0.05,JS_Divergence,0.005962038784219805
F_1,race,0.1,swat_0.1,Hellinger,0.09499289572552795
F_1,race,0.1,swat_0.1,wasserstein,0.004753068885628921
F_1,race,0.1,swat_0.1,cramers_v,0.9992022925307271
F_1,race,0.1,swat_0.1,JS_Divergence,0.05886655593149306
F_1,race,0.2,swat_0.2,Hellinger,0.12765043117965333
F_1,race,0.2,swat_0.2,wasserstein,0.003656490537059915
F_1,race,0.2,swat_0.2,cramers_v,0.9977291645777328
F_1,race,0.2,swat_0.2,JS_Divergence,0.06076982030232429
F_1,race,0.4,swat_0.4,Hellinger,0.3381635194125765
F_1,race,0.4,swat_0.4,wasserstein,0.0060610545034914245
F_1,race,0.4,swat_0.4,cramers_v,0.9899733683207433
F_1,race,0.4,swat_0.4,JS_Divergence,0.10899587620475107
F_1,race,0.6,swat_0.6,Hellinger,0.529064612461109
F_1,race,0.6,swat_0.6,wasserstein,0.00585389121948429
F_1,race,0.6,swat_0.6,cramers_v,0.9811382913091677
F_1,race,0.6,swat_0.6,JS_Divergence,0.11949016595446371
F_1,race,0.8,swat_0.8,Hellinger,0.7024427968947193
F_1,race,0.8,swat_0.8,wasserstein,0.0068714441753740295
F_1,race,0.8,swat_0.8,cramers_v,0.9687182950699255
F_1,race,0.8,swat_0.8,JS_Divergence,0.13212401248194555
F_1,race,0.95,swat_0.95,Hellinger,0.8664987912694796
F_1,race,0.95,swat_0.95,wasserstein,0.006667585147448105
F_1,race,0.95,swat_0.95,cramers_v,0.9666057742467236
F_1,race,0.95,swat_0.95,JS_Divergence,0.12513482218307848
F_2,sex,0.01,swat_0.01,Hellinger,0.0
F_2,sex,0.01,swat_0.01,wasserstein,0.0
F_2,sex,0.01,swat_0.01,cramers_v,1.0
F_2,sex,0.01,swat_0.01,JS_Divergence,0.0
F_2,sex,0.05,swat_0.05,Hellinger,0.011263559893592335
F_2,sex,0.05,swat_0.05,wasserstein,0.000561587650657645
F_2,sex,0.05,swat_0.05,cramers_v,1.0
F_2,sex,0.05,swat_0.05,JS_Divergence,0.008394476597884514
F_2,sex,0.1,swat_0.1,Hellinger,0.06509211570444431
F_2,sex,0.1,swat_0.1,wasserstein,0.002733278712265555
F_2,sex,0.1,swat_0.1,cramers_v,0.9988949363054062
F_2,sex,0.1,swat_0.1,JS_Divergence,0.03707123588133132
F_2,sex,0.2,swat_0.2,Hellinger,0.15619438291087362
F_2,sex,0.2,swat_0.2,wasserstein,0.0030454696897992952
F_2,sex,0.2,swat_0.2,cramers_v,0.9981169338482727
F_2,sex,0.2,swat_0.2,JS_Divergence,0.07558752394350902
F_2,sex,0.4,swat_0.4,Hellinger,0.4454769689923495
F_2,sex,0.4,swat_0.4,wasserstein,0.004232408290728955
F_2,sex,0.4,swat_0.4,cramers_v,0.987883004182423
F_2,sex,0.4,swat_0.4,JS_Divergence,0.09822770009963527
F_2,sex,0.6,swat_0.6,Hellinger,0.7111120248766418
F_2,sex,0.6,swat_0.6,wasserstein,0.00482991629280147
F_2,sex,0.6,swat_0.6,cramers_v,0.9785731586419383
F_2,sex,0.6,swat_0.6,JS_Divergence,0.10487735997270711
F_2,sex,0.8,swat_0.8,Hellinger,0.8403118277784175
F_2,sex,0.8,swat_0.8,wasserstein,0.00553989255321013
F_2,sex,0.8,swat_0.8,cramers_v,0.9667036097127303
F_2,sex,0.8,swat_0.8,JS_Divergence,0.12169272322155988
F_2,sex,0.95,swat_0.95,Hellinger,1.0471702041701407
F_2,sex,0.95,swat_0.95,wasserstein,0.005412335222227872
F_2,sex,0.95,swat_0.95,cramers_v,0.9596225116612876
F_2,sex,0.95,swat_0.95,JS_Divergence,0.13115529607531226
F_3,capital-gain,0.01,swat_0.01,Hellinger,0.0
F_3,capital-gain,0.01,swat_0.01,wasserstein,0.0
F_3,capital-gain,0.01,swat_0.01,cramers_v,1.0
F_3,capital-gain,0.01,swat_0.01,JS_Divergence,0.0
F_3,capital-gain,0.05,swat_0.05,Hellinger,0.0232080620086039
F_3,capital-gain,0.05,swat_0.05,wasserstein,0.0007208239266846062
F_3,capital-gain,0.05,swat_0.05,cramers_v,1.0
F_3,capital-gain,0.05,swat_0.05,JS_Divergence,0.0067715672918436
F_3,capital-gain,0.1,swat_0.1,Hellinger,0.13932764953704777
F_3,capital-gain,0.1,swat_0.1,wasserstein,0.002396694764066506
F_3,capital-gain,0.1,swat_0.1,cramers_v,0.9989846850654192
F_3,capital-gain,0.1,swat_0.1,JS_Divergence,0.02361050564764633
F_3,capital-gain,0.2,swat_0.2,Hellinger,0.3594421784628057
F_3,capital-gain,0.2,swat_0.2,wasserstein,0.007263975821846369
F_3,capital-gain,0.2,swat_0.2,cramers_v,0.9971329689496258
F_3,capital-gain,0.2,swat_0.2,JS_Divergence,0.06052316871686808
F_3,capital-gain,0.4,swat_0.4,Hellinger,0.8701129727920061
F_3,capital-gain,0.4,swat_0.4,wasserstein,0.013060459724027734
F_3,capital-gain,0.4,swat_0.4,cramers_v,0.9925270750033868
F_3,capital-gain,0.4,swat_0.4,JS_Divergence,0.06384691161990314
F_3,capital-gain,0.6,swat_0.6,Hellinger,1.1925609693002246
F_3,capital-gain,0.6,swat_0.6,wasserstein,0.013189250417980514
F_3,capital-gain,0.6,swat_0.6,cramers_v,0.9887759549224594
F_3,capital-gain,0.6,swat_0.6,JS_Divergence,0.08101817551991028
F_3,capital-gain,0.8,swat_0.8,Hellinger,1.5704395490274332
F_3,capital-gain,0.8,swat_0.8,wasserstein,0.01542190622403706
F_3,capital-gain,0.8,swat_0.8,cramers_v,0.9822469677268655
F_3,capital-gain,0.8,swat_0.8,JS_Divergence,0.1045492973877111
F_3,capital-gain,0.95,swat_0.95,Hellinger,1.693128192498689
F_3,capital-gain,0.95,swat_0.95,wasserstein,0.016568988724881592
F_3,capital-gain,0.95,swat_0.95,cramers_v,0.9820248176890944
F_3,capital-gain,0.95,swat_0.95,JS_Divergence,0.13115205534961605
F_4,capital-loss,0.01,swat_0.01,Hellinger,0.0
F_4,capital-loss,0.01,swat_0.01,wasserstein,0.0
F_4,capital-loss,0.01,swat_0.01,cramers_v,1.0
F_4,capital-loss,0.01,swat_0.01,JS_Divergence,0.0
F_4,capital-loss,0.05,swat_0.05,Hellinger,0.04050441493795501
F_4,capital-loss,0.05,swat_0.05,wasserstein,0.0011942917825968134
F_4,capital-loss,0.05,swat_0.05,cramers_v,0.999686764124648
F_4,capital-loss,0.05,swat_0.05,JS_Divergence,0.00571162390610982
F_4,capital-loss,0.1,swat_0.1,Hellinger,0.1689257067939977
F_4,capital-loss,0.1,swat_0.1,wasserstein,0.0029131893692769624
F_4,capital-loss,0.1,swat_0.1,cramers_v,0.998948916482
F_4,capital-loss,0.1,swat_0.1,JS_Divergence,0.026759563900814663
F_4,capital-loss,0.2,swat_0.2,Hellinger,0.2664721484304708
F_4,capital-loss,0.2,swat_0.2,wasserstein,0.0022047411218507422
F_4,capital-loss,0.2,swat_0.2,cramers_v,0.9980499262242604
F_4,capital-loss,0.2,swat_0.2,JS_Divergence,0.026970174876968442
F_4,capital-loss,0.4,swat_0.4,Hellinger,0.6367938085238273
F_4,capital-loss,0.4,swat_0.4,wasserstein,0.00704524555256948
F_4,capital-loss,0.4,swat_0.4,cramers_v,0.9939292370356148
F_4,capital-loss,0.4,swat_0.4,JS_Divergence,0.04591329514752148
F_4,capital-loss,0.6,swat_0.6,Hellinger,1.008454241431339
F_4,capital-loss,0.6,swat_0.6,wasserstein,0.015410690497719945
F_4,capital-loss,0.6,swat_0.6,cramers_v,0.9901666457055835
F_4,capital-loss,0.6,swat_0.6,JS_Divergence,0.09544281224542085
F_4,capital-loss,0.8,swat_0.8,Hellinger,1.335918599510252
F_4,capital-loss,0.8,swat_0.8,wasserstein,0.017323204039092974
F_4,capital-loss,0.8,swat_0.8,cramers_v,0.9847984847117482
F_4,capital-loss,0.8,swat_0.8,JS_Divergence,0.10551495302728058
F_4,capital-loss,0.95,swat_0.95,Hellinger,1.5529619304067714
F_4,capital-loss,0.95,swat_0.95,wasserstein,0.01701172494503964
F_4,capital-loss,0.95,swat_0.95,cramers_v,0.9802248477534505
F_4,capital-loss,0.95,swat_0.95,JS_Divergence,0.10708799740125624
F_5,hours-per-week,0.01,swat_0.01,Hellinger,0.0
F_5,hours-per-week,0.01,swat_0.01,wasserstein,0.0
F_5,hours-per-week,0.01,swat_0.01,cramers_v,1.0
F_5,hours-per-week,0.01,swat_0.01,JS_Divergence,0.0
F_5,hours-per-week,0.05,swat_0.05,Hellinger,0.011417764098726826
F_5,hours-per-week,0.05,swat_0.05,wasserstein,0.00192048822458126
F_5,hours-per-week,0.05,swat_0.05,cramers_v,1.0
F_5,hours-per-week,0.05,swat_0.05,JS_Divergence,0.02018426364522754
F_5,hours-per-week,0.1,swat_0.1,Hellinger,0.12307669796951907
F_5,hours-per-week,0.1,swat_0.1,wasserstein,0.004380591290910981
F_5,hours-per-week,0.1,swat_0.1,cramers_v,0.9989175019279198
F_5,hours-per-week,0.1,swat_0.1,JS_Divergence,0.039521308409996805
F_5,hours-per-week,0.2,swat_0.2,Hellinger,0.17560215081970193
F_5,hours-per-week,0.2,swat_0.2,wasserstein,0.003380350758426115
F_5,hours-per-week,0.2,swat_0.2,cramers_v,0.9986971140474289
F_5,hours-per-week,0.2,swat_0.2,JS_Divergence,0.048020309163893674
F_5,hours-per-week,0.4,swat_0.4,Hellinger,0.5587989669087914
F_5,hours-per-week,0.4,swat_0.4,wasserstein,0.0066212598583369545
F_5,hours-per-week,0.4,swat_0.4,cramers_v,0.9891639135718353
F_5,hours-per-week,0.4,swat_0.4,JS_Divergence,0.07640810798049873
F_5,hours-per-week,0.6,swat_0.6,Hellinger,0.8986194480182131
F_5,hours-per-week,0.6,swat_0.6,wasserstein,0.0070911861400706
F_5,hours-per-week,0.6,swat_0.6,cramers_v,0.9847886468107385
F_5,hours-per-week,0.6,swat_0.6,JS_Divergence,0.09138244128220259
F_5,hours-per-week,0.8,swat_0.8,Hellinger,1.079360721961467
F_5,hours-per-week,0.8,swat_0.8,wasserstein,0.008751816585326404
F_5,hours-per-week,0.8,swat_0.8,cramers_v,0.9775403812555842
F_5,hours-per-week,0.8,swat_0.8,JS_Divergence,0.09783054499863972
F_5,hours-per-week,0.95,swat_0.95,Hellinger,1.2552151627644506
F_5,hours-per-week,0.95,swat_0.95,wasserstein,0.009072047755258012
F_5,hours-per-week,0.95,swat_0.95,cramers_v,0.9708783042452996
F_5,hours-per-week,0.95,swat_0.95,JS_Divergence,0.10349867141262027
